!   nombres.la,,,,,
!,,,,,
!This file is part of COLLATINVS.,,,,,
!COLLATINVS is free software; you can redistribute it and/or modify,,,,,
!it under the terms of the GNV General Public License as published by,,,,,
!the Free Software Foundation; either version 2 of the License, or,,,,
!(at your option) any later version.,,,,,
!,,,,,
!COLLATINVS is distributed in the hope that it will be useful,,,,,
!but WITHOVT ANY WARRANTY; without even the implied warranty of,,,,,
!MERCHANTABILITY or FITNESS FOR A PARTICVLAR PVRPOSE.  See the,,,,,
!GNV General Public License for more details.,,,,,
!,,,,,
!You should have received a copy of the GNV General Public License,,,,,
Aquinas,-AQVINAS A,4,,,
Aquinates,AQVINATES N,2,,,
Aquinius,AQVINIVS N,4,,,
Aquinus,AQVINVS N,2,,,
Aquitania,AQVITANIA N,12,,,
Aquitanus,AQVITANVS N,1,,,
Araba,ARABES N,5,,,
Arabes,ARABES N,21,,,
Arabia,ARABIA N,5,,,
Arabicus,ARABICVS A,1,,,
Arabius,ARABIVS A,2,,,
Arabs,ARABS N,1,,,
Arabs2,ARABS A,9,,,
Arabus,ARABVS A,2,,,
Arachne2,ARACHNE N,1,,,
Arachosii,ARACHOSII N,8,,,
Aracynthus,ARACINTHVS N,2,,,
Arar,ARAR N,4,,,
Araricus,-ARARICVS N,1,,,
Aratus2,ARATVS N,4,,,
Arauisci,ARAVISCI N,2,,,
Araxes,ARAXES N,8,,,
Arbuscula2,ARBVSCVLA N,1,,,
Arcadia,ARCADIA N,14,,,
Arcadicus,ARCADICVS A,2,,,
Arcadius,ARCADIVS A,18,,,
Arcens,ARCENS N,2,,,
Arcesilas,ARCESILAVS N,3,,,
Arcesilaus,ARCESILAVS N,1,,,
Archagathus,ARCHAGATHVS N,8,,,
Archelaus,ARCHELAVS N,13,,,
Archemorus,ARCHEMORVS N,1,,,
Archiacus,ARCHIACVS A,1,,,
Archias,ARCHIAS N,6,,,
Archidemus,ARCHIDAMVS N,1,,,
Archidemus,ARCHIDEMVS N,2,,,
Archigenes,ARCHIGENES N,1,,,
Archilochus,ARCHILOCHVS N,4,,,
Archimedes,ARCHIMEDES N,2,,,
Archippus,ARCHIPPVS N,12,,,
Arctophylax,ARCTOPHYLAX N,4,,,
Ardea,ARDEA N,9,,,
